,id,review,class,user,date_review,rating
0,321,I get a pop up about push notifications and if I push ok it pops back up again making it completely inoperable I tried changing all the push notification options and it doesnt fix it!,PD,RbiPjymjBk,2020-01-16,1
1,347,"Todays update, dated March 1, 2013 is horrible!  Every single time I open up the App, it defaults to the Updated view of all my notes Then, when I select either Title, which is how I REALLY WANT to organize my notes, in alphabetical order, or I select Created,, the App immediately crashes and closes  I have tried this over 50 times! I tried rebooting my iPadno to avail  I tried deleting the App all together, and then reloaded it, but still the same problem!  This HAS TO BE FIXED ASAP PLEASE!!!!!!!  I cant effectively use my notesits too much of a hassle to try to look in each month for a note created, and even each month is not in alphabetical order  THERE IS NO RYTHME OR REASON TO THIS UPDATE!!!!  I have always been one of your biggest advocates and proponents  If this bug isnt fixed pronto, I will have to delete Evernote permanently, and use a different App!  ARGHHHHHH!!!!!!",PD,AXQHBAXVww,2020-01-27,1
2,344,No notes showing up All the notebooks are there but they are all empty Boo,PD,VTCqubsYEj,2020-01-25,1
3,342,"Was just beginning to trust this app until 7 update Quit working for all practical purposes
Will watch for patches and post an updated review I really was wanting this app to be effective They have some silly new process to sell post it notes Not!",PD,nFzUvrMkpj,2020-01-15,1
4,339,It seems Evernote did not understand the spirit of iOS 7 The design seems flat for the sake of flatness Usability has been thrown out the door Its very confusing to use the app Simple actions are painfully slow,PD,QcLVxvvwIr,2020-01-27,1
5,338,"I really wanted a note system I could trust, but Evernote just lost all my notes on the upgrade",PD,qjaGHHCUHG,2020-01-24,1
6,335,Brilliant app but crashes on iPad and iPhone,PD,dHtgpoyICD,2020-01-04,1
7,334,The app has been unbelievably buggy since the last update Cannot trust using it on iPhone (only desktop and iPad),PD,WUvHgAFPjO,2020-01-15,1
8,333,"I love Evernote and have become very reliant on it, one of the apps I cant do without however I am without it now because it crashes on open and will not open on iPhone  DO NOT load the Dec 12 update!  Evernote please fix",PD,zqpcMxAvhN,2020-01-21,1
9,330,"The automatic upload feature is ridiculous as there is no intuitive or easy way to stop it  Also, the delete function is confusing and should have some sort of dialog box informing you that you are about to delete a photo on your ipad, not just in dropbox interface, and ask you to confirm that you want to do this  My wife tried to stop the automatic upload and hit the delete prompt thinking that may stop it  We now lost photos of our newborn which we cannot recover  Thank you Dropbox - you just lost us photos we will never get back!",PD,cmGZXOEjtc,2020-01-08,1
10,329,Cannot open any saved files,PD,fiOHfbZVuA,2020-01-24,1
11,349,Was an excellent app  Now crashes on iPod touch since last update  Wont open at all Please fix asap!!,PD,pTWCPfJrNI,2020-01-12,1
12,328,"Thanks, Dropbox  Here I was, thinking Dropbox is one of the greatest inventions since sliced bread  One update, and I cant access my files or photos on my gen 3 IPad  I know it is Presidents Day weekend, but can someone fix this please?  Maybe you are enjoying time with familysure would be nice to share pics with them",PD,EdIcGzfjaU,2020-01-22,1
13,326,I cant open the goddamn app,PD,gyZFrgnBQd,2020-01-12,1
14,325,"Downloaded the latest update and now my app has disappeared, and the App Store wont let me download it again",PD,qXhATmPrhg,2020-01-28,1
15,893,There are different categories missing since the update. Whats wrong with this?,RT,LymXlQdihj,2020-01-05,1
16,323,Spent many hours successfully transporting pictures Site then froze when I needed to export All pictures are locked and frozen I keep trying to re- access the app site with no success,PD,FjDgyvDZBy,2020-01-15,1
17,322,"This app never installed correctly, I dont see the icon
Nevertheless, it always show up in the App Store under Updates
It always says Installing
I cant update it, cant delete it, cant use it
Only App Ive ever seen that does that

ZERO stars!

What a Joke!",PD,fMpcalwySN,2020-01-22,1
18,319,I have not been able to use Please fix,PD,zOuJoZYGEI,2020-01-27,1
19,318,I install Dropbox yesterday When I start the App the  dialog box  app wants your location appears in an endless loop,PD,wSzEjPECnm,2020-01-23,1
20,313,You cant download any videos into your phone Like come on I dont know why yahoo would do this to me making a deal with Dropbox,PD,dJXLWaOxul,2020-01-29,1
21,311,Needs to be less crazy,PD,ihIkUCIZBu,2020-01-26,1
22,308,When I open it crashes my iPad,PD,qImgecvQAQ,2020-01-13,1
23,327,I cant open it on my ipad 3 Help! Crash! Crash! Crash!,PD,jTeVVmdFSD,2020-01-20,1
24,350,"Locations on maps are incredibly inaccurate Sometimes its only a few blocks wrong, or maybe a mislabeled street, but I am seeing much worse locations outside of San Miguel de Allende are shown within the downtown area Want to golf? Go horseback riding? Come to the historic Centro, where it is mapped but doesnt exist The most funny in accuracy is the pyramid supposedly a few blocks from my rental house

Next problem, related to this is the Near Me function First, the app couldnt find me Instead, it thought I was in a town two hours away and showed me attractions for that town When I dragged the map to the town I am in there was more of the map craziness, but even worse The few locations that were accurately mapped now shifted to within a block or two from my house

Lastly, the new version is less functional than the previous version And its a lot less functional than the website

Bottom line is that I am deleting until at least the map issues get fixed I am definitely unhappy with this version",PD,HvSOqeDHSV,2020-01-24,1
25,351,"Most of the hotel reviews, especially from poor hotels, are fake and most likely posted by employees Notice how after a negative review is posted, it is invariably followed by several glowing reviews And because TripAdvisor is paid by the hotels listed on this site they will remove negative reviews if pressured by the hotel",PD,TxQElmeOLJ,2020-01-14,1
26,355,Lag! Very Laaagggg! Please fix it!,PD,iwmAKrNrPz,2020-01-15,1
27,385,Good but wth	Its a good camera and everything but it used 1.00gb of my data last month. What the heck is that? What is this sending out?,RT,whSVQDAcXI,2020-01-19,1
28,384,Pile of sh!t worst app ever!,RT,UEoiWleZKF,2020-01-10,1
29,383,Gettin stuck most of the times	I also wasted my 3 quid I think its shame on the N.F.S game designers deciving people like this.. we dont expect these from them.,RT,aExVxRGqaS,2020-01-27,1
30,382,This game sucks,RT,TuloQOkkEi,2020-01-10,1
31,381,High hopes shot down...	Been looking for an open office port for Android for quite a while and thought I hit the jackpot with this one unfortunately way too clunky and no way up to optimized for tablets will keep looking,RT,fPMYbGKbqH,2020-01-05,1
32,380,Galaxy Note2	This paid app Sucks there is NO PM option like on the free app,RT,kQTnHpdgZa,2020-01-18,1
33,379,"Pathetic
",RT,wWamSfhYMU,2020-01-28,1
34,378,My gallery app does better than this	Trash,RT,ICWmPHACXX,2020-01-15,1
35,377,Waste of money	Not downloading,RT,yRlQHDfVye,2020-01-20,1
36,376,Very bad,RT,PxSJyQMDNs,2020-01-19,1
37,375,"Sequel only on ios?	So the developer released the ios sequel before android when there are far more android users, are you stupid?",RT,ODPvajbuaD,2020-01-03,1
